season,episode_number,title
1,1,Encounter at Farpoint
1,2,Encounter at Farpoint
1,3,The Naked Now
1,4,Code of Honor
1,5,Haven
1,6,Where No One Has Gone Before
1,7,The Last Outpost
1,8,Lonely Among Us
1,9,Justice
1,10,The Battle
1,11,Hide and Q
1,12,Too Short A Season
1,13,The Big Goodbye
1,14,Datalore
1,15,Angel One
1,16,11001001
1,17,Home Soil
1,18,When the Bough Breaks
1,19,Coming of Age
1,20,Heart of Glory
1,21,The Arsenal of Freedom
1,22,Symbiosis
1,23,Skin of Evil
1,24,We’ll Always Have Paris
1,25,Conspiracy
1,26,The Neutral Zone
2,27,The Child
2,28,Where Silence Has Lease
2,29,Elementary, Dear Data
2,30,The Outrageous Okona
2,31,The Schizoid Man
2,32,Loud as a Whisper
2,33,Unnatural Selection
2,34,A Matter of Honor
2,35,The Measure of a Man
2,36,The Dauphin
2,37,Contagion
2,38,The Royale
2,39,Time Squared
2,40,The Icarus Factor
2,41,Pen Pals
2,42,Q Who?
2,43,Samaritan Snare
2,44,Up the Long Ladder
2,45,Manhunt
2,46,The Emissary
2,47,Peak Performance
2,48,Shades of Grey
3,49,The Ensigns of Command
3,50,Evolution
3,51,The Survivors
3,52,Who Watches the Watchers?
3,53,The Bonding
3,54,Booby Trap
3,55,The Enemy
3,56,The Price
3,57,The Vengeance Factor
3,58,The Defector
3,59,The Hunted
3,60,The High Ground
3,61,Déjà Q
3,62,A Matter of Perspective
3,63,Yesterday’s Enterprise
3,64,The Offspring
3,65,Sins of the Father
3,66,Allegiance
3,67,Captain’s Holiday
3,68,Tin Man
3,69,Hollow Pursuits
3,70,The Most Toys
3,71,Sarek
3,72,Ménage á Troi
3,73,Transfigurations
3,74,The Best of Both Worlds, Part I
4,75,The Best of Both Worlds, Part II
4,76,Family
4,77,Brothers
4,78,Suddenly Human
4,79,Remember Me
4,80,Legacy
4,81,Reunion
4,82,Future Imperfect
4,83,Final Mission
4,84,The Loss
4,85,Data’s Day
4,86,The Wounded
4,87,Devil’s Due
4,88,Clues
4,89,First Contact
4,90,Galaxy’s Child
4,91,Night Terrors
4,92,Identity Crisis
4,93,The Nth Degree
4,94,Qpid
4,95,The Drumhead
4,96,Half a Life
4,97,The Host
4,98,The Mind’s Eye
4,99,In Theory
4,100,Redemption, Part I
5,101,Redemption, Part II
5,102,Darmok
5,103,Ensign Ro
5,104,Silicon Avatar
5,105,Disaster
5,106,The Game
5,107,Unification, Part I
5,108,Unification, Part II
5,109,A Matter of Time
5,110,New Ground
5,111,Hero Worship
5,112,Violations
5,113,The Masterpiece Society
5,114,Conundrum
5,115,Power Play
5,116,Ethics
5,117,The Outcast
5,118,Cause and Effect
5,119,The First Duty
5,120,Cost of Living
5,121,The Perfect Mate
5,122,Imaginary Friend
5,123,I, Borg
5,124,The Next Phase
5,125,The Inner Light
5,126,Time’s Arrow, Part I
6,127,Time’s Arrow, Part II
6,128,Realm of Fear
6,129,Man of the People
6,130,Relics
6,131,Schisms
6,132,True Q
6,133,Rascals
6,134,A Fistful of Datas
6,135,The Quality of Life
6,136,Chain of Command, Part I
6,137,Chain of Command, Part II
6,138,Ship in a Bottle
6,139,Aquiel
6,140,Face of the Enemy
6,141,Tapestry
6,142,Birthright, Part I
6,143,Birthright, Part II
6,144,Starship Mine
6,145,Lessons
6,146,The Chase
6,147,Frame of Mind
6,148,Suspicions
6,149,Rightful Heir
6,150,Second Chances
6,151,Timescape
6,152,Descent, Part I
7,153,Descent, Part II
7,154,Liaisons
7,155,Interface
7,156,Gambit, Part I
7,157,Gambit, Part II
7,158,Phantasms
7,159,Dark Page
7,160,Attached
7,161,Force of Nature
7,162,Inheritance
7,163,Parallels
7,164,The Pegasus
7,165,Homeward
7,166,Sub Rosa
7,167,Lower Decks
7,168,Thine Own Self
7,169,Masks
7,170,Eye of the Beholder
7,171,Genesis
7,172,Journey’s End
7,173,Firstborn
7,174,Bloodlines
7,175,Emergence
7,176,Preemptive Strike
7,177,All Good Things...
7,178,All Good Things...
